stop_id,stop_name,stop_lat,stop_lon
10,B.RMADHNIA,35.2328987121582,10.194299697876
101,Manufacture des tabacs,35.65674840167944,10.087784097168537
106,EL BATEN,35.7108001708984,10.0010004043579
107,EL AOUAMRIA,35.6753005981445,9.97916984558105
108,ECHBIKA,35.6162986755371,9.9281702041626
109,EL GRINE,35.5968017578125,9.85958003997803
11,NUMERO 10,35.1825981140137,10.2834997177124
110,DAR ECHADLY,35.5858993530273,9.83839988708496
111,EL HOUAREB,35.5611000061035,9.76313972473145
112,F.LOUSSIF,35.5189018249512,9.72618007659912
114,H.MAAMAR,35.446855,9.595747
115,hajeb Laayoun,35.3955993652344,9.54224014282227
12,D.ABDESSLEM,35.1548004150391,10.31369972229
13,K.BOUDHADI,35.1133003234863,10.3480997085571
134,DAR AMOR,35.6186981201172,9.83047962188721
135,ECHRICHIRA,35.6417007446289,9.80817031860352
136,EL BOHLI,35.660400390625,9.77371025085449
137,MIZI,35.6587982177734,9.75224018096924
138,HAFFOUZ,35.6352005004883,9.67508029937744
14,EL AGUEIR,35.0889015197754,10.427300453186
15,RECIFA,35.0808982849121,10.4621000289917
16,EL OGLA,35.0396995544434,10.5250997543335
163,B. HAMMOUDA,35.6627998352051,9.6192798614502
164,EL AWADID,35.6477012634277,9.56954002380371
165,EL ALAA,35.6169013977051,9.56241989135742
168,DHOUIBET,35.7167015075684,9.98060035705566
169,BOUSABIR,35.7671012878418,9.91621971130371
17,BIR BRAHIM,35.0145988464355,10.5488004684448
170,ERROUISSAT,35.7783012390137,9.89645957946777
171,ELKARMOUSSA,35.7942008972168,9.87147998809814
172,JLOULA,35.7997016906738,9.80440044403076
173,EL KHOMSSI,35.8216018676758,9.76961994171143
174,ETFIFILA,35.853401184082,9.73217010498047
175,ISKANDIRR,35.8642997741699,9.70567989349365
176,BAZINA,35.8409996032715,9.68159008026123
177,OUSSELTIA,35.8484001159668,9.5904598236084
178,SIDI AMARA,35.86315,9.515844
179,SIDI AMEUR,35.913815,9.467058
18,MEJEL DROUJ,34.9706993103027,10.5872001647949
180,O.KHARROUB,35.944804,9.48071
181,EL KANTRA,36.026336,9.424509
182,SILIANA,36.094309,9.369963
185,ESSMEITIA,35.7324981689453,9.99390983581543
186,EL ADDEM,35.760799407959,9.9851598739624
187,FATNASSA,35.7963981628418,9.98019027709961
188,BIR ESSKHOUN,35.818415,9.991066
189,OULED BELLIL,35.836,9.99973
19,ESTOUH,34.9161987304688,10.6298999786377
192,SBIKHA,35.9328,10.0176
2,RACCADA,35.611672,10.06818
20,EL BIDHA,34.8489990234375,10.6541004180908
204,SIDI NEJI,36.0508995056152,10.0594997406006
21,EL AOUEBID,34.8275985717773,10.6707000732422
211,ENNADHOUR,36.114923,10.060626
215,EL FAHS,36.375782,9.902577
219,BIR MCHERKA,36.515183,9.959447
22,SFAX,34.7244987487793,10.7565002441406
220,DJEBAL OUST,36.556911,10.053229
222,MHAMDIA,36.679775,10.156902
223,FOUCHANA,36.698506,10.169412
224,TUNIS,36.787535,10.17949
225,METBASSTA,35.7938003540039,10.1464004516602
226,EL BCHACHMA,35.8403015136719,10.1788997650146
227,BIR JEDID-Bouhajla,35.3418006896973,10.0355997085571
229,KONDAR,35.9328994750977,10.3002996444702
230,TARHOUNA,35.9865989685059,10.3125
231,DAR BELOUAR,36.0418014526367,10.3274002075195
232,ENFIDHA,36.135799407959,10.3815002441406
233,H. EL BAHRI,36.1688003540039,10.4202995300293
234,AIN ERRAHMA,36.2274017333984,10.4296998977661
235,BOUFICHA,36.2999992370605,10.4593000411987
236,ETHAKNA,36.3592987060547,10.5243997573853
237,B. ESSAHEL,36.4047012329102,10.5611000061035
238,HAMMAMET,36.4054985046387,10.6127004623413
239,MRAZGUA,36.4337997436523,10.6907997131348
240,NABEUL,36.4516983032227,10.729700088501
249,K. KAZZAZIA,35.6819000244141,10.2185001373291
251,SIDI HANI,35.6808013916016,10.3106002807617
252,GHABGHOUB,35.693000793457,10.4026002883911
253,ESSABBALA,35.7148017883301,10.4552001953125
254,MSAKEN,35.7330017089844,10.5752000808716
255,MESSADINE,35.7588912,10.6004979
257,SOUSSE,35.8143005371094,10.6305999755859
259,MONASTIR,35.7733001708984,10.8267002105713
269,MAHDIA,35.5013,11.065
3,BARROUTA,35.5778007507324,10.0473003387451
303,C. EZZAMLA,35.496898651123,9.70071983337402
311,Ecole Beit Al Hikma,35.66189888937547,10.089992880821228
344,HOPITAL,35.68320879780801,10.0974440574646
367,CITE EL MOIZ,35.6637001037598,10.0923004150391
368,Pharmacie Douira,35.67085715240126,10.1016765832901
369,Pharmacie HIND GHITH,35.6837997436523,10.0930995941162
370,CROISEMENT ESSAIED,35.67897123756733,10.092463195323944
371,FINANCES MANSOURAH - ALLER,35.658807892459656,10.08870038151133
374,echebilia,35.69313835458043,10.10343898859623
375,gouvernerat,35.6903991699219,10.101900100708
386,Centre des etudes islamiques,35.651250519819506,10.085121989250183
391,CITE M.ALI,35.66767360851055,10.09868323802948
392,Garde Nationale,35.672606849013114,10.10566234588623
394,Immeubles Cite Ennacer,35.671336,10.087242
395,Marina-Cite Ennacer,35.670819,10.085349
396,Cite Enacer-Cafe Ayouni,35.670087,10.082933
398,Cite Okba,35.668515,10.077825
399,Ecole Ibn Al Hani,35.667013,10.073019
4,BIR ESSBIL,35.5682983398438,10.0389003753662
401,AWLED FARHAN,35.68298875523248,10.103028416633606
402,CITE M.ALI (Aller),35.667570098611655,10.099061493413842
403,Gare Kairouan,35.6811981201172,10.0864000320435
